sqrt_s_GeV,mode,t_GeV2,dt_min_GeV2,dt_max_GeV2,dsig_dt_mb_GeV2,err_stat_plus,err_stat_minus,err_sys_plus,err_sys_minus,err_total_plus,err_total_minus,paper_ins
11.537,pbarp,0.0375,0.0,0.0,54.84,0.88,0.88,1.6452,1.6452,1.865766073225687,1.865766073225687,ins110409
11.537,pbarp,0.075,0.0,0.0,34.4,0.68,0.68,1.032,1.032,1.2358899627394018,1.2358899627394018,ins110409
11.537,pbarp,0.11,0.0,0.0,22.82,0.68,0.68,0.6846,0.6846,0.9649233959232205,0.9649233959232205,ins110409
11.537,pbarp,0.13,0.0,0.0,18.02,0.84,0.84,0.5406,0.5406,0.9989236006822543,0.9989236006822543,ins110409
11.537,pbarp,0.15,0.0,0.0,14.27,0.57,0.57,0.4281,0.4281,0.7128601616025404,0.7128601616025404,ins110409
11.537,pbarp,0.17,0.0,0.0,11.11,0.61,0.61,0.3333,0.3333,0.6951178964751231,0.6951178964751231,ins110409
11.537,pbarp,0.2,0.0,0.0,8.49,0.43,0.43,0.2547,0.2547,0.49977203803334175,0.49977203803334175,ins110409
11.537,pbarp,0.25,0.0,0.0,4.6,0.28,0.28,0.13799999999999998,0.13799999999999998,0.3121602152741441,0.3121602152741441,ins110409
11.537,pbarp,0.3,0.0,0.0,2.68,0.19,0.19,0.0804,0.0804,0.20631083345282672,0.20631083345282672,ins110409
11.537,pbarp,0.35,0.0,0.0,1.38,0.14,0.14,0.04139999999999999,0.04139999999999999,0.14599301353147007,0.14599301353147007,ins110409
11.537,pbarp,0.4,0.0,0.0,0.79,0.12,0.12,0.0237,0.0237,0.12231798723000636,0.12231798723000636,ins110409
11.537,pbarp,0.45,0.0,0.0,0.69,0.23,0.23,0.020699999999999996,0.020699999999999996,0.23092962131350755,0.23092962131350755,ins110409
11.537,pbarp,0.5,0.0,0.0,0.36,0.07,0.07,0.010799999999999999,0.010799999999999999,0.07082824295434696,0.07082824295434696,ins110409
13.761,pp,0.0375,0.0,0.0,48.07,5.1,5.1,1.4421,1.4421,5.299967208389123,5.299967208389123,ins110409
13.761,pp,0.075,0.0,0.0,28.92,1.61,1.61,0.8676,0.8676,1.8288875744561228,1.8288875744561228,ins110409
13.761,pp,0.11,0.0,0.0,22.94,0.68,0.68,0.6882,0.6882,0.9674808731959512,0.9674808731959512,ins110409
13.761,pp,0.13,0.0,0.0,18.95,0.46,0.46,0.5685,0.5685,0.7312949131506385,0.7312949131506385,ins110409
13.761,pp,0.15,0.0,0.0,15.42,0.24,0.24,0.46259999999999996,0.46259999999999996,0.5211513791596449,0.5211513791596449,ins110409
13.761,pp,0.17,0.0,0.0,12.38,0.24,0.24,0.3714,0.3714,0.4421967435429619,0.4421967435429619,ins110409
13.761,pp,0.2,0.0,0.0,9.3,0.19,0.19,0.279,0.279,0.33755147755564635,0.33755147755564635,ins110409
13.761,pp,0.25,0.0,0.0,5.6,0.12,0.12,0.16799999999999998,0.16799999999999998,0.20645580640902303,0.20645580640902303,ins110409
13.761,pp,0.3,0.0,0.0,3.4,0.1,0.1,0.102,0.102,0.14284257068535275,0.14284257068535275,ins110409
13.761,pp,0.35,0.0,0.0,2.01,0.06,0.06,0.06029999999999999,0.06029999999999999,0.08506521028011392,0.08506521028011392,ins110409
